Valor;Titulo;Quilometragem;Cambio;Combustivel;Localizacao
R$ 25.900;Honda Prelude S 2.2 , não eclipse, mx3, calibra, tigra;99;km;Gasolina;São Paulo, Vila Formosa
R$ 81.990;NISSAN KICKS 1.6 Sl 2018 Aut - poucas unidades;44.900;km;Flex;São Paulo, Vila Andrade
R$ 66.500;TOYOTA ...YARIS... XL ... 1.5... AUTOMÁTICO...ANO 2019;2.415;km;Flex;Santo André, Parque das Nações
R$ 21.500;POLO 1.6  SEDAN COMPLETO 2008 EXCELENTE;120;km;Flex;Santo André, Paraíso
R$ 43.300;Voyage Mpi Mt 1.6** Thais Santos *;21.000;km;Flex;São Paulo, Jardim Independência
R$ 35.500;Kwid Zen 1.0 4p 2019 - AR DH;26.000;km;Flex;Mauá, Matriz
R$ 42.990;Versa Sv At 1.6 4p 2017 - Automático ** Thais Santos *;49.000;km;Flex;São Paulo, Jardim Independência
R$ 52.000;Tucson 2017;36.000;km;Flex;São Paulo, Perdizes
R$ 54.990;Civic Exr com teto solar novinho Top ;116.000;km;Flex;São Paulo, Moema
R$ 93.990;T-Cross Comfortiline 250 Tsi 1.4 Automático;12.000;km;Flex;São Paulo, Jardim Independência
R$ 50.000;Pajero sport prata, ano 2010;200.000;km;Diesel;São Paulo, Vila Guilherme
R$ 102.990;T-Cross Highline 250 Tsi At 1.4** Thais Santos *;7.700;km;Flex;São Paulo, Jardim Independência
R$ 99.990;Chery Tiggo 7 1.5 Vvt Turbo Iflex Txs;17.600;km;Flex;São Paulo, Vila Guilherme
R$ 47.500;Strada Cs Hard Working 1.4 ** Thais Santos *;47.000;km;Flex;São Paulo, Jardim Independência
R$ 65.000;CHEVROLET SILVERADO GRAN BLAZER 4.2 Tb 4P;300.000;km;Diesel;Jundiaí, Aeroporto
R$ 22.000;Chevrolet Classic 2014;70.000;km;Flex;São Paulo, Vila Ipojuca
R$ 57.200;Focus Hatch Se Mt 1.6 * Thais Santos *;34.990;km;Flex;São Paulo, Jardim Independência
R$ 5.990;Vw Santana Gl 1996 4p leia o anuncio;200.000;km;Gasolina;São Paulo, Jardim Maringá
R$ 29.999;Ecosport 2011 freestyle Cinza Impecavel;134.000;km;Flex;Guarulhos, Vila Rosália
R$ 77.990;Renegade Longitude Flex 4x2 Automático 1.8;12.400;km;Flex;São Paulo, Jardim Independência
R$ 7.000; Gol G3 2000 1.0 16v;170;km;Gasolina;São Bernardo do Campo, Cooperativa
R$ 37.900;Civic 1.8 LXL Flex Ano 2011 Completo;158.660;km;Flex;São Paulo, Vila Pereira Barreto
R$ 13.500;Palio ELX - Flex 04 Mod 2005;170.000;km;Flex;São Paulo, Perdizes
R$ 37.800;Corolla GL automático valor de 37.800,00;149.000;km;Flex;São Paulo, Parque São Domingos
R$ 25.500;Carro;32.500;km;Flex;São Paulo, Paraíso
R$ 52.000;Honda Fit 1.5 Lx Cvt 2016 Flex Unica Dona Baixo Km;40.000;km;Flex;Barueri, Alphaville Centro Industrial e Empresarial/Alphaville.
R$ 71.990;YARIS 2019/2019 1.5 16V FLEX X WAY MULTIDRIVE;13.000;km;Flex;São Bernardo do Campo, Rudge Ramos
R$ 24.800;Fiat Siena 1.0 Mpi el 8v;143.900;km;Flex;Jundiaí, Vila Loureiro
R$ 38.990;HB20 Hatch Confort 1.6 - Flex 16V automático;86.000;km;Flex;São Paulo, Vila Guilherme
R$ 10.000;Logus wolfsburg;123.000;km;Gasolina;São Paulo, Vila Ivg
R$ 42.900;PRISMA 2019/2019 1.0 MPFI JOY 8V FLEX 4P MANUAL;41.058;km;Flex;São Paulo, Jardim América da Penha
R$ 84.790;FORD ECOSPORT 2.0 DIRECT STORM 4WD;37.546;km;Flex;Santo André, Tamanduateí 8
R$ 24.790;VOLKSWAGEN FOX 1.0 MI 8V;75.363;km;Flex;Santo André, Tamanduateí 8
R$ 35.990;Hyundai HB20 Confort 1.0 Flex Manual 2014;52.000;km;Flex;São Bernardo do Campo, Centro
R$ 61.900;Hyundai HR 2.5 Turbo Diesel - Baixa KM - 12500 de Entrada - IPVA pago - Com Garantia;77.000;km;Diesel;São Paulo, Parque Maria Luiza
R$ 45.220;FORD KA 2019/2020 1.0 TI-VCT FLEX S MANUAL;50.645;km;Flex;São Paulo, Jardim América da Penha
R$ 43.900;FORD KA 2019/2019 1.0 TI-VCT FLEX SE MANUAL;40.500;km;Flex;São Paulo, Jardim América da Penha
R$ 42.500;HB20 2019/2019 1.0 UNIQUE 12V FLEX 4P MANUAL;55.426;km;Flex;São Paulo, Jardim América da Penha
R$ 71.900;Nissan Kicks 1.6S Automático 2019 ;30.600;km;Flex;São Paulo, Instituto de Previdência
R$ 18.900;Focus 2009 completo 1.6 ;163;km;Flex;Mogi das Cruzes, Vila Nancy
R$ 36.990;IDEA 2015/2016 1.4 MPI ATTRACTIVE 8V FLEX 4P MANUAL;54.011;km;Flex;São Bernardo do Campo, Rudge Ramos
R$ 32.900;FIAT MOBI 1.0 8V EVO FLEX LIKE. MANUAL;49.499;km;Flex;São Bernardo do Campo, Paulicéia
