Valor;Titulo;Quilometragem;Cambio;Combustivel;Localizacao
R$ 69.900;Hilux SR 2.7 Flex 4x2 2012 AUTOMÁTICA;114.000;km;Flex;São Paulo, Vila Mariana
R$ 84.900;Hyundai Ix35 Gl 2.0 16v Automática Couro Midia 20.000km 2018;20.000;km;Flex;São Paulo, Vila Leopoldina
R$ 19.000;Toyota Hilux 4Runner SR5;999;km;Gasolina;Caieiras, Vera Tereza
R$ 33.000;Cobalt LT 1.8 automático;97.000;km;Flex;São Paulo, Cidade Líder
R$ 6.000;Vende se cadett 1.8 tudo ok 92;89.000;km;Álcool;Santo André, Jardim Cipreste
R$ 64.800;Kia bongo 2014 + bau + km 110.000;110.000;km;Diesel;São Paulo, Ipiranga
R$ 36.890;208 Active Pack 1.2 flex 12V 5p Mec.;35.200;km;Flex;São Bernardo do Campo, Centro
R$ 81.700;HONDA CIVIC 2017/2017 2.0 16V FLEXONE EX 4P CVT;47.000;km;Flex;Osasco, km 18
R$ 77.800;Corolla Gli Uper 1.8 Aut;44.884;km;Flex;Guarulhos, Ponte Grande
R$ 15.300;Fiesta Sedan 2005 1.6 8V Flex Completo Ac + Dh R 15.300,00;150.000;km;Flex;Santo André, Parque das Nações
R$ 19.300;Honda fit manual flex ;253.900;km;Flex;São Paulo, São Mateus
R$ 38.900;Ford Ka se 1.0 ( 0 entrada ) 2018;52.505;km;Flex;São Paulo, Vila Divina Pastora
R$ 38.100;Argo Drive 1.0 Completo 2018 - 41.500 km;41.500;km;Flex;Jundiaí, Vila Virgínia
R$ 24.800;Palio Fire 2014 Preto ;25.425;km;Flex;São Paulo, Tucuruvi
R$ 25.000;Honda City;184.000;km;Flex;Guarulhos, Centro
R$ 31.900;Fuscão ano 1971 ;111;km;Gasolina;São Paulo, Cangaíba
R$ 18.000;Fiesta Hatch 1.0 - Completo ;119.000;km;Flex;Osasco, Conceição
R$ 9.500;Corsa Millenium 2001;231.000;km;Gasolina;São Paulo, Vila Antonieta
